index	name
1	Left-LGN
2	Right-LGN
3	Right-MGN
4	Left-MGN
5	Left-PuI
6	Left-PuM
7	Left-L-Sg
8	Left-VPL
9	Left-CM
10	Left-VLa
11	Left-PuA
12	Left-MDm
13	Left-Pf
14	Left-VAmc
15	Left-MDl
16	Left-CeM
17	Left-VA
18	Left-MV(Re)
19	Left-R
20	Left-VM
21	Left-CL
22	Left-PuL
23	Left-Pt
24	Left-AV
25	Left-Pc
26	Left-VLp
27	Left-LP
28	Right-PuI
29	Right-PuM
30	Right-L-Sg
31	Right-VPL
32	Right-CM
33	Right-VLa
34	Right-PuA
35	Right-MDm
36	Right-Pf
37	Right-VAmc
38	Right-MDl
39	Right-R
40	Right-VA
41	Right-MV(Re)
42	Right-CeM
43	Right-VM
44	Right-PuL
45	Right-CL
46	Right-VLp
47	Right-Pc
48	Right-Pt
49	Right-AV
50	Right-LP
51	Left-LD
52	Right-LD
